"console","genre","publisher","developer","critic_score","total_sales","release_month"
"PS2","Racing","Electronic Arts","EA Black Box",8.3,6.9,11
"PS2","Shooter","Electronic Arts","EA Los Angeles",9,6.83,5
"PS3","Action","Sony Computer Entertainment","Naughty Dog",9.5,6.74,10
"PS3","Shooter","Activision","Infinity Ward",9.5,6.72,11
"PS3","Sports","EA Sports","EA Canada",9.2,6.65,9
"PS3","Action","Rockstar Games","Rockstar San Diego",9.5,6.57,10
"X360","Action","Rockstar Games","Rockstar San Diego",9.5,6.5,5
"PS3","Action-Adventure","Ubisoft","Ubisoft Montreal",8.8,6.5,10
"PS3","Role-Playing","Bethesda Softworks","Bethesda Game Studios",9,6.49,11
"PS4","Misc","Sony Computer Entertainment","Mojang",9.4,6.33,10
"PS4","Sports","EA Sports","EA Canada",8.1,6.32,9
"PS","Action","GT Interactive","Reflections Interactive",8.5,6.27,6
"PS","Fighting","Namco","Namco",9.1,5.74,8
"Wii","Action","LucasArts","Traveller's Tales",8,5.66,11
"DS","Simulation","Majesco","Office Create",6.6,5.66,9
"PS3","Action","Ubisoft","Ubisoft Montreal",9,5.57,11
"X360","Action","Ubisoft","Ubisoft Montreal",8.2,5.55,11
"PS3","Action","Warner Bros. Interactive","Rocksteady Studios",9.6,5.54,10
"X360","Racing","Microsoft Game Studios","Turn 10 Studios",9.2,5.5,10
"PS3","Shooter","Activision","Treyarch",8.4,5.43,11
"PS2","Platform","Universal Interactive","Traveller's Tales",6.9,5.42,10
"PS3","Role-Playing","Square Enix","Square Enix",8,5.35,3
"X360","Action","Ubisoft","Ubisoft Montreal",9.1,5.3,11
"PS","Adventure","Eidos Interactive","Core Design Ltd.",7.6,5.24,10
"PS2","Sports","EA Sports","EA Tiburon",9.5,5.23,8
"XOne","Shooter","Activision","Sledgehammer Games",8.3,5.22,11
"PS2","Shooter","Electronic Arts","EA Los Angeles",5.9,5.13,11
"XOne","Shooter","Electronic Arts","EA DICE",9.3,5.13,10
"PC","Simulation","Microsoft","Microsoft",7,5.12,10
"PS2","Misc","RedOctane","Harmonix Music Systems",9.2,5.12,11
"DS","Sports","Sega","Sega",7,5.1,1
"X360","Role-Playing","Microsoft Game Studios","Lionhead Studios",7.8,5.1,10
"PS3","Action","Capcom","Capcom",8.6,5.1,3
"PS3","Sports","EA Sports","EA Canada",8.7,5.08,9
"PSP","Action","Rockstar Games","Rockstar Leeds",8.4,5.08,10
"PS4","Role-Playing","Square Enix","Square Enix",8.1,5.07,11
"XOne","Role-Playing","Bethesda Softworks","Bethesda Game Studios",8.4,5.03,11
"PS","Sports","Activision","Neversoft Entertainment",9.6,5.02,8
"PS2","Misc","RedOctane","BudCat Creations",8.2,4.98,10
"PS3","Action","Sony Computer Entertainment","Naughty Dog",8.7,4.97,11
"X360","Role-Playing","Bethesda Softworks","Bethesda Game Studios",9,4.96,10
"PS2","Sports","EA Sports","EA Tiburon",9.1,4.91,8
"PS3","Action","Ubisoft","Ubisoft Montreal",8.2,4.83,11
"PS","Racing","Sony Computer Entertainment","Naughty Dog",9.2,4.79,9
"DS","Action","LucasArts","Traveller's Tales",7.8,4.77,11
"X360","Action","Warner Bros. Interactive","Rocksteady Studios",9.5,4.75,10
"PS","Action","Atari","Reflections Interactive",7,4.73,11
"PS2","Racing","VU Games","Radical Entertainment",7.7,4.7,9
"PS","Sports","Activision","Neversoft Entertainment",9.3,4.68,9
"PS2","Action","Electronic Arts","Stormfront Studios",8.3,4.67,10
"PS","Action","Eidos Interactive","Core Design Ltd.",8.9,4.63,11
"X360","Racing","Microsoft Studios","Turn 10 Studio",9.1,4.6,10
"Wii","Misc","RedOctane","Vicarious Visions",8.6,4.6,10
"PS3","Sports","EA Sports","EA Canada",6.9,4.56,9
"Wii","Sports","Sega","Sega",6.8,4.54,10
"PS4","Shooter","Blizzard Entertainment","Blizzard Entertainment",8.8,4.54,5
"X360","Misc","RedOctane","Neversoft",8.7,4.53,10
"PS2","Sports","EA Sports","EA Tiburon",9.5,4.53,8
"PS2","Action","Activision","Treyarch",8.2,4.48,4
"X360","Role-Playing","Take-Two Interactive","Bethesda Softworks",9.2,4.47,7
"PS2","Sports","Activision","Neversoft Entertainment",9.1,4.41,10
"PS2","Sports","Konami","Konami Computer Entertainment Tokyo",8.8,4.39,2
"PS2","Racing","Electronic Arts","EA Canada",8.6,4.37,11
"Wii","Misc","Ubisoft","Ubisoft Montpellier",5.6,4.37,11
"X360","Shooter","Activision","High Moon Studios",9.1,4.34,11
"PS3","Action","Eidos Interactive","Rocksteady Studios",9,4.28,8
"PS3","Shooter","Activision","High Moon Studios",9.1,4.27,11
"PS3","Action","Ubisoft","Ubisoft Montreal",8.8,4.23,11
"X360","Action","Ubisoft","Ubisoft Montreal",7.9,4.22,11
"PS2","Sports","EA Sports","EA Canada",8.4,4.21,10
"PS3","Fighting","Capcom","Capcom / Dimps Corporation",9.3,4.19,2
"X360","Sports","EA Sports","EA Canada",9.2,4.18,9
"PS4","Shooter","Activision","Infinity Ward",7.5,4.17,11
"NES","Platform","Ultra Games","Konami",5.9,4.17,6
"XOne","Shooter","Electronic Arts","EA DICE",6.9,4.15,11
"PS2","Sports","EA Sports","EA Tiburon",9.4,4.14,8
"PS2","Sports","EA Sports","Team Fusion",8.4,4.11,10
"PS4","Action","Warner Bros. Interactive","Rocksteady Studios",8.1,4.11,6
"PC","Simulation","Electronic Arts","Maxis",7,4.1,9
"X360","Role-Playing","Bethesda Softworks","Obsidian Entertainment",8.2,4.08,10
"Wii","Misc","Global Star Software","Cat Daddy Games",4.2,4.06,8
"PS4","Shooter","Ubisoft","Ubisoft Montreal",8.4,4.06,11
"PS2","Sports","Konami","Konami Computer Entertainment Tokyo",8.9,4.06,2
"X360","Racing","Microsoft Game Studios","Turn 10 Studios",9.1,4.05,5
"PS2","Fighting","Namco","Namco",8.7,4.05,10
"PS3","Role-Playing","Bethesda Softworks","Bethesda Game Studios",8.8,4,10
"PC","Role-Playing","Bethesda Softworks","Bethesda Game Studios",9.2,3.99,11
"PS4","Sports","2K Sports","Visual Concepts",8.7,3.98,9
"PS4","Action","Ubisoft","Ubisoft",7.9,3.95,3
"PS4","Shooter","Electronic Arts","EA DICE",8.3,3.94,11
"PS3","Action-Adventure","Ubisoft","Ubisoft Montreal",8.7,3.94,10
"PS2","Sports","Activision","Neversoft Entertainment",8.7,3.9,10
"Wii","Music","Ubisoft","Ubisoft Paris",7.4,3.89,10
"PS3","Sports","Sony Computer Entertainment","SCE San Diego Studio",7.6,3.88,9
"PS2","Sports","Konami","Konami Computer Entertainment Tokyo",9.3,3.85,2
"X360","Adventure","LucasArts","Traveller's Tales",7.5,3.76,6
"PC","Simulation","Electronic Arts","Maxis",7.3,3.76,9
"PSP","Platform","Sony Computer Entertainment","High Impact Games",8.5,3.75,2
"XOne","Sports","Electronic Arts","EA Canada",8.8,3.71,9
"PS2","Sports","EA Sports","EA Canada",8.4,3.7,10
"PS2","Sports","Activision","Neversoft Entertainment",9.6,3.67,10
"DS","Simulation","Electronic Arts","EA Redwood Shores",6.7,3.66,9
"PSP","Racing","Rockstar Games","Rockstar Leeds",7.2,3.66,6
"PS2","Shooter","Sony Computer Entertainment","Zipper Interactive",8,3.65,8
"PS3","Shooter","Electronic Arts","EA DICE",8.7,3.64,10
"PS2","Platform","Sony Computer Entertainment","Naughty Dog",9,3.64,12
"PS2","Sports","Konami","Konami",8.2,3.63,3
"PS3","Sports","EA Sports","EA Canada",9,3.63,10
"Wii","Misc","Activision","Vicarious Visions",8.4,3.62,10
"PS2","Racing","Electronic Arts","Radical Entertainment",6.1,3.61,11
"PS2","Shooter","LucasArts","Pandemic Studios",8.1,3.61,9
"PC","Shooter","GT Interactive","id Software",9.3,3.61,9
"PS4","Action","Ubisoft","Ubisoft Quebec",8.6,3.6,10
"PS2","Shooter","LucasArts","Pandemic Studios",8.5,3.59,11
"DS","Simulation","Majesco","Office Create",6.9,3.58,11
"PS2","Action","Sony Computer Entertainment","Team Soho",7.7,3.54,1
"PS","Adventure","Eidos Interactive","Core Design Ltd.",8.2,3.54,11
"PS2","Action","Rockstar Games","Rockstar Leeds",8.3,3.54,6
"X360","Shooter","Electronic Arts","EA DICE",8.7,3.54,10
"X360","Action","Eidos Interactive","Rocksteady Studios",9.1,3.54,8
"X360","Action","Capcom","Capcom",8.6,3.53,3
"X360","Action","Ubisoft","Ubisoft Montreal",9.1,3.53,11
"PS2","Action","Eidos Interactive","Traveller's Tales",7.9,3.53,4
"X360","Sports","EA Sports","EA Canada",8.7,3.52,9
"PS4","Sports","2K Sports","Visual Concepts",9,3.52,9
"PS2","Sports","EA Sports","EA Canada",8,3.49,11
"X360","Shooter","2K Games","Gearbox Software",8.3,3.48,10
"X360","Shooter","Electronic Arts","EA Digital Illusions CE",9,3.48,3
"DS","Sports","Sega","Sega",7.6,3.47,10
"DS","Misc","Activision","Vicarious Visions",7.1,3.46,6
"PS2","Fighting","Namco","Namco",7.9,3.44,9
"X360","Adventure","Warner Bros. Interactive","Traveller's Tales",7.5,3.44,9
"XOne","Shooter","Microsoft Studios","343 Industries",8.8,3.44,11
"PS3","Platform","Sony Computer Entertainment","Media Molecule",9.1,3.43,1
"PS","Action","Rockstar Games","DMA Design",6.9,3.42,10
"XOne","Shooter","Activision","Bungie",8.3,3.41,9
"PS2","Action","Activision","Treyarch",7.9,3.41,6
"PS","Misc","Sony Computer Entertainment","Eurocom Entertainment Software",6.8,3.39,11
"PS4","Role-Playing","Bethesda Softworks","Bethesda Softworks",8.3,3.36,10
"X360","Action-Adventure","Ubisoft","Ubisoft Montreal",8.5,3.34,10
"PS4","Sports","2K Sports","Visual Concepts",8.1,3.34,9
"PS2","Shooter","Rockstar Games","Remedy Entertainment",8.1,3.31,12
"PS4","Sports","EA Sports","EA Tiburon",8.2,3.3,8
"PS2","Action","Electronic Arts","Hypnos Entertainment, Inc.",8.4,3.28,11
"PS4","Sports","EA Sports","EA Tiburon",8.5,3.28,8
"XOne","Sports","EA Sports","EA Canada",8.5,3.25,9
"PS3","Adventure","Rockstar Games","Team Bondi",9.1,3.21,11
"PS","Shooter","Electronic Arts","Black Ops Entertainment",6.2,3.21,11
"PS","Fighting","THQ","Yuke's",8.7,3.2,11
"PS4","Action-Adventure","Ubisoft","Ubisoft Montreal",8.3,3.19,11
"PS4","Action-Adventure","Ubisoft","Ubisoft Quebec",9.5,3.18,10
"PS3","Role-Playing","Bethesda Softworks","Obsidian Entertainment",8.2,3.17,10
"DS","Adventure","Disney Interactive Studios","1st Playable Productions",7,3.14,11
"XOne","Sports","EA Sports","EA Vancouver",8,3.14,9
"PS3","Role-Playing","Bethesda Softworks","4J Studios",9.3,3.12,3
"PS4","Shooter","Ubisoft","Ubisoft Paris",7,3.12,3
"X360","Sports","2K Sports","Visual Concepts",8.6,3.11,10
"X360","Role-Playing","Electronic Arts","BioWare Edmonton",9.5,3.1,1
"Wii","Adventure","Warner Bros. Interactive","Traveller's Tales",7.3,3.08,9
"X360","Action","THQ","Volition Inc.",7.9,3.07,10
"XOne","Shooter","Activision","Infinity Ward",7.5,3.07,11
"DS","Adventure","Warner Bros. Interactive","Traveller's Tales",7.8,3.06,9
"X360","Platform","Activision","Luxoflux",7.5,3.05,6
"X360","Role-Playing","Electronic Arts","BioWare",9.5,3.04,3
"PS","Platform","Ubisoft","Ubisoft Montpellier",7,3.03,9
"XB","Action","Ubisoft","Ubisoft",9.3,3.02,11
"PS2","Fighting","THQ","Yuke's",8.4,3,11
"PS3","Shooter","Electronic Arts","EA Digital Illusions CE",8.9,2.96,3
"X360","Fighting","Capcom","Capcom / Dimps Corporation",9.3,2.95,2
"X360","Sports","EA Sports","EA Tiburon",8,2.93,8
"X360","Sports","EA Sports","EA Canada",6.9,2.91,9
"X360","Role-Playing","Microsoft Game Studios","BioWare Edmonton",9.2,2.91,11
"PS3","Fighting","Warner Bros. Interactive Entertainment","NetherRealm Studios",8.5,2.9,4
"Wii","Simulation","Majesco","Office Create",5.9,2.89,3
"X360","Sports","Sega","Sumo Digital",6.9,2.89,3
"DS","Simulation","Ubisoft","Visual Impact",3.5,2.87,10
"PS","Racing","Sony Computer Entertainment","Codemasters",7.9,2.87,1
"PS4","Action-Adventure","2K Games","Hangar 13",6.9,2.87,10
"XB","Role-Playing","Bethesda Softworks","Bethesda Softworks",8.2,2.86,6
"PS3","Action","Ubisoft","Ubisoft Montreal",9.1,2.85,11
"X360","Sports","EA Sports","EA Tiburon",8.6,2.83,8
"X360","Shooter","2K Games","2K Australia / 2K Boston",9.6,2.83,8
"GBA","Platform","THQ","Vicarious Visions",7,2.82,5
"PSN","Racing","Sony Computer Entertainment","Polyphony Digital",7.8,2.82,10
"PS3","Shooter","Electronic Arts","EA Los Angeles",6.7,2.82,10
"DS","Simulation","Ubisoft","Virtual Toys / Lexis Numerique",3,2.81,10
"PS3","Racing","Electronic Arts","Criterion Games",8.9,2.81,11
"PS3","Shooter","Sony Computer Entertainment","Guerrilla Games",8.2,2.81,2
"Wii","Action","Activision","Toys for Bob",8,2.79,10
"PS","Platform","Sony Computer Entertainment","Traveller's Tales",3.6,2.79,10
"X360","Action","LucasArts","LucasArts",7.1,2.77,9
"X360","Action","THQ","Volition Inc.",8.3,2.77,11
"PC","Shooter","Electronic Arts","Dice",8.9,2.76,10
"PS3","Racing","Electronic Arts","Criterion Games",8.5,2.74,10
"PS4","Action-Adventure","Ubisoft","Ubisoft Montreal",7.2,2.73,2
"X360","Adventure","Rockstar Games","Team Bondi",9.1,2.73,11
"XOne","Shooter","Blizzard Entertainment","Blizzard Entertainment",8.7,2.72,5
"PS4","Racing","Electronic Arts","Ghost Games",7,2.72,11
"X360","Sports","EA Sports","EA Black Box",8.3,2.71,5
"PS3","Sports","EA Sports","EA Tiburon",8.3,2.71,8
"X360","Sports","EA Sports","EA Tiburon",7.8,2.7,8
"X360","Shooter","Activision","Treyarch",8,2.7,11
"PS2","Action","LucasArts","Traveller's Tales",8.4,2.69,9
"X360","Sports","EA Sports","EA Tiburon",8.3,2.69,8
"PS2","Racing","Electronic Arts","Criterion Games",9.3,2.68,9
"PS","Shooter","Electronic Arts","DreamWorks Interactive",9.3,2.67,11
"PS2","Shooter","Activision","Treyarch",8.5,2.67,11
"PS3","Role-Playing","Square Enix","Square Enix",8.3,2.66,1
"PSP","Shooter","Electronic Arts","Team Fusion",6.7,2.66,10
"X360","Misc","Activision","Neversoft Entertainment",8.6,2.66,10
"PS3","Racing","Electronic Arts","Slightly Mad Studios",8.2,2.65,9
"DS","Action","Buena Vista","DC Studios",6.5,2.65,10
"X360","Shooter","Electronic Arts","EA Los Angeles",7.3,2.64,10
"X360","Sports","2K Sports","Visual Concepts",9.1,2.64,10
"PS3","Sports","2K Sports","Visual Concepts",8.9,2.63,10
"X360","Sports","EA Sports","EA Canada",8.9,2.62,10
"PS4","Sports","EA Sports","EA Tiburon",8.2,2.62,8
"PSP","Platform","Sony Computer Entertainment","SCEE Cambridge",8.8,2.61,11
"X360","Adventure","Rockstar Games","Rockstar North",9,2.6,10
"PS3","Sports","Electronic Arts","EA Canada",8.6,2.59,10
"PS2","Fighting","THQ","Yuke's",8,2.58,11
"X360","Role-Playing","Electronic Arts","BioWare Edmonton",8.5,2.56,11
"PS3","Sports","EA Sports","EA Canada",9,2.55,9
"X360","Sports","EA Sports","EA Tiburon",8.5,2.54,8
"PS2","Racing","Acclaim Entertainment","Hitmaker",8.2,2.52,5
"PS3","Action","Square Enix","Crystal Dynamics",8.9,2.51,3
"PS3","Racing","Rockstar Games","Rockstar San Diego",8.3,2.5,10
"X360","Role-Playing","Activision","Raven Software",8.3,2.5,10
"XB","Action","Rockstar Games","Rockstar North",9.8,2.49,10
"PS2","Fighting","Midway Games","Midway",8.2,2.49,11
"Wii","Misc","Midway Games","JGI Entertainment",2.6,2.49,11
"PS3","Action","THQ","Volition Inc.",8.3,2.48,11
"XOne","Sports","EA Sports","EA Tiburon",8.4,2.47,8
"X360","Misc","MTV Games","Harmonix Music Systems",9.1,2.47,11
"X360","Racing","Disney Interactive Studios","Black Rock Studio",8.3,2.47,9
"Wii","Adventure","Warner Bros. Interactive","Traveller's Tales",7.9,2.45,6
"XOne","Sports","EA Sports","EA Tiburon",8.1,2.44,8
"PS","Racing","Sony Computer Entertainment","SingleTrac",8.7,2.44,10
"X360","Shooter","Ubisoft","Ubisoft Montreal",8.2,2.42,3
"DC","Platform","Sega","Sonic Team",8.9,2.42,9
"PSP","Racing","Electronic Arts","EA Black Box",7.4,2.42,10
"X360","Shooter","Microsoft Studios","343 Industries",8,2.41,11
"X360","Action-Adventure","Microsoft Studios","Frontier Developments",8.5,2.41,11
"PS3","Sports","Konami","Konami",6,2.41,10
"XOne","Sports","2K Sports","Visual Concepts",8.3,2.41,9
"PS2","Racing","Sony Computer Entertainment","Rainbow Studios",8.4,2.41,2
"X360","Racing","Rockstar Games","Rockstar San Diego",8,2.4,10
"PS3","Sports","EA Sports","EA Tiburon",8.4,2.4,8
"PC","Strategy","Electronic Arts","Bullfrog Productions",5.5,2.4,3
"GBA","Adventure","Konami","Konami",6.7,2.39,10
"X360","Action","Deep Silver","Techland",7,2.38,9
"PS2","Action","THQ","Heavy Iron Studios",5.9,2.37,10
"PS3","Sports","EA Sports","EA Tiburon",8.5,2.37,8
"X360","Sports","EA Sports","EA Tiburon",8.7,2.37,8
"PS3","Misc","Sega","Backbone Entertainment",8.1,2.36,2
"Wii","Adventure","LucasArts","Traveller's Tales",7.8,2.35,6
"PS4","Role-Playing","Electronic Arts","BioWare Edmonton",8.6,2.34,11
"X360","Sports","Microsoft Studios","Rare Ltd.",6.6,2.33,10
"X360","Sports","EA Sports","EA Tiburon",7.8,2.33,8
"PS","Action","Take-Two Interactive","DMA Design",6,2.32,6
"Wii","Sports","Ubisoft","Ubisoft",7.1,2.32,12
"XOne","Action","Ubisoft","Ubisoft Montreal",8.3,2.32,11
"X360","Simulation","Electronic Arts","The Sims Studio",8,2.31,10
"PS3","Action","LucasArts","Traveller's Tales",8,2.31,11
"PS3","Action","Deep Silver","Techland",6.7,2.29,9
"PC","Adventure","Eidos Interactive","Core Design Ltd.",8.2,2.29,10
"DS","Adventure","Warner Bros. Interactive","Traveller's Tales",8,2.29,6
"PS3","Sports","Konami","Konami",7,2.28,11
"XB","Racing","Electronic Arts","EA Black Box",8,2.28,11
"PS3","Sports","EA Sports","EA Tiburon",7.8,2.27,8
"PS4","Action-Adventure","Hello Games","Hello Games",6.8,2.26,8
"PS3","Misc","RedOctane","Neversoft",8.2,2.25,10
"Wii","Shooter","Activision","EXAKT Entertainment",6.8,2.24,11
"PS2","Adventure","Ubisoft","Ubisoft Montreal",9,2.22,11
"PS3","Action","LucasArts","LucasArts",6.8,2.22,9
"X360","Misc","RedOctane","Harmonix Music Systems",9.2,2.21,4
"X360","Misc","MTV Games","Harmonix Music Systems",9.2,2.2,9
"X360","Racing","Electronic Arts","Criterion Games",8.8,2.2,11
"X360","Shooter","2K Games","2K Marin",8.6,2.2,2
"DS","Puzzle","Disney Interactive Studios","Artificial Mind and Movement",7.3,2.2,8
"XOne","Sports","EA Sports","EA Canada",7.9,2.19,9
"PS3","Sports","Konami","Konami",7.5,2.19,9
"XB","Role-Playing","LucasArts","BioWare Corp.",9.4,2.19,7
"X360","Role-Playing","Square Enix","Square Enix",8.1,2.19,3
"PS4","Racing","Electronic Arts","Ghost Games",5.8,2.18,11
"PS2","Racing","Sony Computer Entertainment","Rainbow Studios",8.7,2.18,11
"Wii","Sports","Ubisoft","Ubisoft",6,2.16,11
"PSP","Shooter","Activision","Amaze Entertainment",6.1,2.14,3
"PC","Simulation","Maxis","Maxis",8,2.14,1
"PS3","Sports","2K Sports","Visual Concepts",9,2.13,10
"PS3","Shooter","2K Games","Gearbox Software",8.2,2.12,10
"X360","Fighting","Warner Bros. Interactive Entertainment","NetherRealm Studios",8.6,2.12,4
"N64","Sports","Activision","Edge of Reality",9.3,2.11,2
"PS2","Racing","Electronic Arts","EA Seattle",8.7,2.11,10
"PS3","Sports","Konami","Konami",7.7,2.11,11
"X360","Sports","2K Sports","Visual Concepts",8.8,2.11,10
"PS3","Adventure","Rockstar Games","Rockstar North",9,2.09,4
"PSP","Racing","Electronic Arts","EA Black Box",7.4,2.09,11
"PSP","Action","Konami","Kojima Productions",8.6,2.08,6
"Wii","Misc","MTV Games","Harmonix Music Systems",8.2,2.08,6
"PC","Strategy","Electronic Arts","Bullfrog Productions",8.1,2.08,10
"X360","Shooter","Valve","Valve Software",9.6,2.08,4
"X360","Fighting","THQ","Yuke's Osaka",8.4,2.07,5
"DS","Simulation","Electronic Arts","Maxis",4.8,2.07,10
"X360","Shooter","Activision","Infinity Ward",8.8,2.06,11
"PS","Racing","Namco","Namco",9.1,2.06,5
"GBA","Action","THQ","Helixe",5.4,2.06,10
"X360","Action","Ubisoft","Ubisoft Montreal",8.6,2.06,4
"PS3","Racing","Electronic Arts","EA Vancouver",5.9,2.06,11
"PS3","Role-Playing","Namco Bandai","From Software",9,2.05,10
"PS3","Fighting","Midway Games","Midway Amusement Games",7.6,2.05,11
"X360","Racing","Electronic Arts","EA Black Box",7.1,2.05,11
"PS4","Role-Playing","Square Enix","Square Enix",9.5,2.04,9
"X360","Racing","Microsoft Game Studios","Bizarre Creations",8.6,2.04,10
"PS3","Racing","Electronic Arts","EA Black Box",7.2,2.04,11
"XOne","Sports","2K Sports","Visual Concepts",8.8,2.04,9
"X360","Music","Microsoft","Harmonix Music Systems",8.6,2.04,10
"PS3","Sports","Electronic Arts","EA Tiburon",7.5,2.04,8
"Wii","Misc","Ubisoft","Ubisoft Paris",7.1,2.03,11
"PS3","Simulation","Electronic Arts","The Sims Studio",8.1,2.03,10
"XOne","Sports","2K Sports","Visual Concepts",7.7,2.02,9
"PS4","Sports","505 Games","Psyonix Studios",8.7,2.02,7
"X360","Misc","Ubisoft","Ubisoft Paris",5.5,2.02,10
"PS3","Racing","Electronic Arts","EA Black Box",6.3,2.01,11
"DS","Puzzle","Midway Games","Midway Studios San Diego",6.9,2,6
"PS3","Shooter","Electronic Arts","EA Redwood Shores",8.9,2,10
"PS","Action","Activision","Acquire",8.8,1.99,8
"GBA","Adventure","Electronic Arts","Eurocom Entertainment Software",7.2,1.99,11
"X360","Fighting","Midway Games","Midway Amusement Games",7.6,1.99,11
"PS4","Action-Adventure","Square Enix","Avalanche Studios",7.5,1.98,12
"PSP","Sports","Sony Computer Entertainment","Clap Hanz",8.4,1.96,5
"X360","Shooter","Ubisoft","Ubisoft Montreal",8.8,1.95,11
"XB","Action","Rockstar Games","Rockstar North",9.2,1.95,6
"PS3","Racing","Electronic Arts","Criterion Games",9,1.95,1
"Wii","Shooter","Activision","EXAKT Entertainment",8.1,1.94,11
"X360","Sports","Electronic Arts","EA Canada",8.7,1.94,10
"PS2","Role-Playing","Activision","Raven Software",8.6,1.93,9
"GBC","Adventure","Nintendo","Flagship",9.4,1.92,5
"PS3","Misc","Activision","Neversoft Entertainment",8.5,1.92,10
"PS2","Shooter","THQ","Volition Inc.",9.1,1.92,5
"XOne","Sports","EA Sports","EA Tiburon",8.8,1.91,8
"X360","Racing","Electronic Arts","Slightly Mad Studios",8.2,1.91,9
"GC","Simulation","LucasArts","Factor 5",9.2,1.9,11
"X360","Action","Square Enix","Crystal Dynamics",8.5,1.9,3
"PS3","Sports","EA Sports","EA Tiburon",8.6,1.89,8
"NS","Sandbox","Mojang","4J Studios",9.2,1.89,6
"PS2","Fighting","Midway Games","Midway Games",7.4,1.88,10
"PS","Sports","EA Sports","EA Canada",8.8,1.87,10
"PS3","Action","Sony Computer Entertainment","Sucker Punch Productions",8.1,1.87,6
"PS2","Misc","Sony Computer Entertainment","SCEE London Studio",8,1.86,5
"PS","Role-Playing","Sony Computer Entertainment","SCEI",7.8,1.86,6
"DS","Platform","Sega","Sonic Team",7.5,1.86,3
"GBC","Adventure","Nintendo","Flagship",9.3,1.86,5
"PS4","Action","Bethesda Softworks","Tango Gameworks",7.7,1.86,10
"PS2","Platform","Activision","Luxoflux, Inc.",6.9,1.86,4
"Wii","Action","LucasArts","Krome Studios",6.8,1.86,9
"XOne","Racing","Microsoft Studios","Playground Games",9.2,1.84,10
"Wii","Misc","Ubisoft","Ubisoft Paris",6.6,1.84,11
"XOne","Role-Playing","Bethesda Softworks","Bethesda Softworks",8.1,1.83,10
"PS3","Shooter","2K Games","Irrational Games",9.5,1.82,3
"X360","Shooter","Electronic Arts","Valve Software",9.7,1.82,10
"DC","Racing","Sega","Hitmaker",9.3,1.81,1
"Wii","Action","LucasArts","Traveller's Tales",7.5,1.79,3
"XOne","Action","Ubisoft","Ubisoft Montreal",7.2,1.78,3
"PS2","Action","Rockstar Games","VIS Entertainment",8,1.76,2
"PS3","Fighting","THQ","Yuke's Osaka",8.4,1.76,5
"PS2","Platform","THQ","Heavy Iron Studios",6.6,1.76,10
"Wii","Misc","Disney Interactive Studios","Artificial Mind and Movement",6.4,1.76,10
"PS3","Action","Square Enix","Avalanche Studios",8.3,1.75,3
"PS3","Sports","EA Sports","EA Canada",8.5,1.75,10
"GBA","Platform","Vivendi Games","Vicarious Visions",8.3,1.73,2
"PS","Action","989 Studios","989 Studios",4.4,1.73,10
